store_id,city,store_type,revenue,transactions,quantity,avg_transaction
8,Los Angeles,Airport,3982.38,458,805,8.695152838427948
2,New York,Airport,3743.64,410,694,9.130829268292683
36,Toronto,Airport,3645.28,466,776,7.822489270386266
28,Sydney,Mall Kiosk,3553.22,468,818,7.592350427350427
12,Chicago,Airport,3534.05,436,736,8.105619266055045
1,New York,Standalone,3470.33,491,828,7.067881873727088
32,Melbourne,Standalone,3416.14,441,762,7.746349206349206
34,Melbourne,Mall Kiosk,3415.15,471,815,7.250849256900213
33,Melbourne,Standalone,3412.85,449,762,7.601002227171492
26,Sydney,Mall Kiosk,3330.51,448,752,7.434174107142858
30,Sydney,Standalone,3302.34,431,729,7.662041763341068
3,New York,Mall Kiosk,3298.86,473,819,6.974334038054969
6,Los Angeles,Standalone,3247.78,445,801,7.298382022471911
4,New York,Mall Kiosk,3230.91,459,793,7.039019607843137
35,Melbourne,Mall Kiosk,3229.09,426,726,7.580023474178404
29,Sydney,Mall Kiosk,3221.06,443,733,7.271015801354402
27,Sydney,Standalone,3205.81,421,715,7.614750593824228
15,Chicago,Standalone,3181.69,481,851,6.614740124740125
31,Melbourne,Standalone,3177.08,394,684,8.063654822335025
14,Chicago,Standalone,3140.2,452,780,6.947345132743362
40,Toronto,Standalone,3107.36,480,783,6.473666666666667
43,Vancouver,Standalone,3090.8,462,795,6.69004329004329
42,Vancouver,Standalone,3056.76,466,769,6.559570815450645
45,Vancouver,Standalone,3046.63,470,791,6.4821914893617025
5,New York,Standalone,3045.38,455,772,6.693142857142857
10,Los Angeles,Mall Kiosk,3031.05,464,786,6.5324353448275865
38,Toronto,Standalone,2994.45,436,773,6.868004587155963
17,London,Standalone,2966.24,471,834,6.297749469214437
44,Vancouver,Mall Kiosk,2946.5,468,807,6.295940170940171
41,Vancouver,Standalone,2928.11,421,732,6.955130641330166
39,Toronto,Mall Kiosk,2854.68,459,780,6.219346405228758
11,Chicago,Standalone,2815.63,420,716,6.703880952380953
18,London,Mall Kiosk,2712.2400000000002,470,813,5.770723404255319
9,Los Angeles,Mall Kiosk,2708.2400000000002,421,701,6.4328741092636585
19,London,Standalone,2705.59,448,768,6.039263392857143
20,London,Standalone,2645.38,448,781,5.904866071428572
13,Chicago,Mall Kiosk,2638.03,413,722,6.387481840193705
25,Manchester,Standalone,2632.5,436,777,6.037844036697248
7,Los Angeles,Standalone,2626.69,407,678,6.453783783783784
37,Toronto,Standalone,2607.63,443,743,5.886297968397291
23,Manchester,Standalone,2570.99,438,783,5.869840182648401
24,Manchester,Standalone,2539.43,432,730,5.8783101851851844
16,London,Standalone,2508.57,414,702,6.059347826086957
22,Manchester,Standalone,2415.1,402,698,6.00771144278607
21,Manchester,Standalone,2076.92,393,640,5.284783715012723
